	City	Cloudiness	Country	Date	Humidity	Lat	Lng	Max Temp	Wind Speed
266	Carora	12	VE	1552967602	51	-70.08	10.17	23.71	2.82
267	Shahreza	0	IR	1552967602	66	51.87	32.01	-11.29	1.12
268	Inverness	20	GB	1552967405	87	-4.23	57.48	7.0	4.6
269	Luan	0	CH	1552967563	69	6.98	46.36	1.67	0.27
270	Werda	20	DE	1552967595	100	12.3	50.44	1.67	2.6
271	Sabang	88	PH	1552967604	82	123.58	13.72	27.56	5.37
272	Leshukonskoye	92	RU	1552967604	82	45.76	64.9	1.46	4.67
273	La Rioja	44	AR	1552967604	79	-66.86	-29.41	19.46	1.32
274	Zhumadian	0	CN	1552967604	66	114.02	33.01	20.66	5.42
275	Belyy Yar	0	RU	1552964400	67	91.39	53.6	-7.0	1.0
276	Kalmunai	92	LK	1552967605	90	81.82	7.42	26.56	0.87
277	Sinnamary	80	GF	1552967605	98	-52.96	5.38	25.66	4.02
278	Marshfield	1	US	1552967306	63	-70.71	42.09	1.11	2.1
279	Faanui	0	PF	1552967606	100	-151.75	-16.48	28.91	1.57
280	Hofn	92	IS	1552967606	95	-15.21	64.25	6.31	14.07
281	Enshi	100	CN	1552967606	98	109.48	30.29	11.31	1.57
282	Comodoro Rivadavia	0	AR	1552964400	38	-67.48	-45.87	15.0	3.1
283	Iwaki	75	JP	1552966411	30	140.89	37.05	15.0	2.6
284	Juneau	20	US	1552963980	57	-134.42	58.3	11.0	5.1
285	Saint Andrews	0	NZ	1552967400	76	171.19	-44.53	18.33	2.32
286	Aksarka	24	RU	1552967608	68	67.8	66.56	-13.49	1.87
287	Flin Flon	8	CA	1552967541	88	-101.88	54.77	-3.74	1.42
288	Tomatlan	0	MX	1552967609	79	-105.25	19.93	20.46	1.22
289	Aqtobe	90	KZ	1552964400	86	57.21	50.28	-3.0	6.0
290	Arlit	36	NE	1552967609	52	7.39	18.74	21.56	1.72
291	Killorglin	64	IE	1552967610	97	-9.78	52.1	7.41	3.47
292	Antsohihy	64	MG	1552967610	97	47.99	-14.88	22.36	1.37
293	Waipawa	0	NZ	1552965537	67	176.59	-39.94	20.56	0.89
294	Ostrovnoy	92	RU	1552967611	92	39.51	68.05	-1.59	3.67
295	Touros	0	BR	1552964400	94	-35.46	-5.2	27.0	2.1
296	Carroll	0	AU	1552967202	30	150.44	-30.99	28.89	4.6
297	Nizhnevartovsk	20	RU	1552964400	92	76.58	60.93	-6.0	2.0
298	Komagane	75	JP	1552967559	39	137.94	35.73	17.22	6.7
299	Phan Thiet	0	VN	1552967497	78	108.1	10.93	29.31	7.07
300	Boca do Acre	12	BR	1552967612	89	-67.39	-8.76	25.66	0.87
301	Arona	0	IT	1552967584	80	8.56	45.76	6.67	0.5
302	Kieta	12	PG	1552967613	100	155.63	-6.22	27.06	1.97
303	Yantarnyy	75	RU	1552964400	86	19.94	54.87	4.0	7.0
304	Zapolyarnyy	92	RU	1552963800	92	30.82	69.43	-1.0	12.3
305	Tautira	20	PF	1552967593	66	-149.15	-17.73	31.0	4.6
306	Launceston	90	AU	1552967423	53	147.14	-41.43	23.89	3.1
307	Grong	80	NO	1552967402	80	12.32	64.47	0.0	2.12
308	Itarema	24	BR	1552967614	93	-39.92	-2.92	24.46	1.52
309	Tabas	0	IR	1552964400	75	56.92	33.6	8.0	1.0
310	Coahuayana	0	MX	1552967615	65	-100.35	18.62	17.86	0.82
311	Fonte Boa	76	BR	1552967615	91	-66.09	-2.51	24.36	1.22
312	Haines Junction	88	CA	1552967616	95	-137.51	60.75	1.61	1.52
313	Rafai	0	CF	1552967616	69	23.92	4.95	20.21	1.97
314	Valleyview	0	CA	1552967616	66	-117.28	55.07	3.76	2.47
315	Aberdeen	75	US	1552967407	92	-98.49	45.47	-1.11	5.7
316	Laguna	0	MX	1552967617	40	-110.01	27.52	19.56	1.67
317	Ovsyanka	64	RU	1552967617	43	126.91	53.58	-4.59	1.97
318	Sakete	20	BJ	1552964400	79	2.66	6.74	29.0	5.7
319	Yatou	75	CM	1552964400	94	9.81	3.63	24.0	1.0
320	Tateyama	75	JP	1552967391	36	137.31	36.66	19.44	3.1
321	Edmundston	20	CA	1552967583	56	-68.33	47.36	-9.0	2.6
322	Varnamo	0	SE	1552967114	92	14.04	57.19	-0.57	3.1
323	Russell	40	AR	1552964400	56	-68.8	-33.01	22.0	3.1
324	Bilma	0	NE	1552967619	40	12.92	18.69	14.06	1.27
325	Sorland	68	NO	1552967620	100	12.69	67.67	3.56	4.47
326	Arteaga	90	MX	1552967487	100	-100.85	25.45	9.44	1.12
327	Stykkisholmur	92	IS	1552967340	100	-22.73	65.08	2.81	8.82
328	Vostok	0	RU	1552967537	45	135.83	46.45	4.96	1.27
329	Champerico	40	MX	1552963680	68	-93.6	16.38	21.0	9.3
330	Canon City	56	US	1552967621	30	-117.13	39.46	4.71	1.07
331	Luena	64	AO	1552967621	98	19.91	-11.78	16.81	1.17
332	Victoria	75	BN	1552964400	79	115.24	5.28	31.67	1.5
333	Tingi	24	TZ	1552967622	100	35.03	-11.3	24.61	2.12
334	Kayes	0	ML	1552967622	64	-11.44	14.44	20.21	1.22
335	Port Hardy	20	CA	1552964400	71	-127.42	50.7	10.0	1.0
336	Luganville	64	VU	1552967623	99	167.18	-15.51	28.81	2.62
337	Maningrida	0	AU	1552967623	82	134.23	-12.05	32.06	3.32
338	Usinsk	88	RU	1552967623	92	57.56	66.0	-1.54	5.57
339	Tshikapa	8	CD	1552967327	100	20.79	-6.42	22.16	0.97
340	Beloha	20	MG	1552967624	93	45.06	-25.17	20.86	1.22
341	Leningradskiy	64	RU	1552967329	96	178.42	69.38	-17.99	16.42
342	Murgab	75	TM	1552964400	87	61.97	37.5	9.0	3.1
343	Morros	75	BR	1552964400	100	-44.04	-2.87	25.0	2.6
344	Tiarei	20	PF	1552967593	66	-149.33	-17.53	31.0	4.6
345	Geraldton	75	CA	1552964400	74	-86.95	49.72	-2.0	3.6
346	Buribay	92	RU	1552967625	91	58.16	51.96	-5.34	4.52
347	South Lake Tahoe	1	US	1552967374	42	-119.98	38.93	13.33	2.1
348	Ukiah	0	US	1552967605	72	-123.21	39.15	16.11	0.45
349	Amapa	20	HN	1552964400	83	-87.97	15.09	24.0	1.0
350	Harindanga	20	IN	1552964400	74	88.32	22.04	26.0	3.1
351	Adrar	0	DZ	1552964400	18	-0.29	27.87	15.0	3.6
352	Praya	40	ID	1552962600	74	116.27	-8.71	30.0	3.1
353	Sterling	40	US	1552967386	44	-77.4	39.0	5.0	3.6
354	Tromso	40	NO	1552963800	85	18.96	69.65	-4.0	6.2
355	Auki	0	NG	1552967628	27	6.51	12.18	21.81	4.77
356	Fare	0	PF	1552967628	100	-151.02	-16.7	29.21	1.62
357	Omsukchan	48	RU	1552967628	71	155.8	62.53	-24.74	4.67
358	Umm Lajj	36	SA	1552967629	97	37.27	25.02	15.81	3.67
359	Pomoryany	92	UA	1552967629	96	24.93	49.64	4.56	2.12
360	Akcakoca	0	TR	1552967629	65	31.12	41.09	6.56	1.82
361	Ciro Marina	76	IT	1552967629	96	17.13	39.37	14.51	6.27
362	Uarini	64	BR	1552967630	95	-65.16	-2.98	23.26	1.17
363	Yerbogachen	64	RU	1552967630	77	108.01	61.28	-9.09	1.72
364	Souillac	90	FR	1552967468	93	-0.6	45.6	7.0	2.6
365	Rondonopolis	56	BR	1552967631	85	-54.64	-16.46	23.56	1.07
366	Vanavara	48	RU	1552967632	75	102.28	60.35	-7.99	1.72
367	Timbiqui	88	CO	1552967632	99	-77.67	2.77	23.56	0.62
368	Karlshamn	0	SE	1552967600	77	14.86	56.17	1.0	3.1
369	Mildura	88	AU	1552967145	18	142.16	-34.18	33.0	3.6
370	Kaseda	40	JP	1552967595	67	130.32	31.42	15.0	9.3
371	Baryshivka	0	UA	1552967616	77	31.33	50.36	7.0	5.0
372	Kaveripattinam	0	IN	1552967633	76	78.22	12.42	23.16	1.97
373	Pangnirtung	20	CA	1552967634	81	-65.72	66.15	-28.59	5.67
374	Isla Mujeres	75	MX	1552967592	83	-86.73	21.23	25.0	3.1
375	Mandalgovi	92	MN	1552967634	76	106.27	45.76	-4.79	8.72
376	Wattegama	32	LK	1552967635	88	80.68	7.35	24.21	1.67
377	Namibe	0	AO	1552967635	100	12.15	-15.19	24.51	4.12
378	Hamilton	90	BM	1552967251	93	-64.78	32.3	15.0	7.2
379	Sechura	32	PE	1552967635	77	-80.82	-5.56	25.11	4.67
380	Ust-Kulom	36	RU	1552967636	94	53.69	61.69	-1.89	2.67
381	Taoudenni	8	ML	1552967636	18	-3.98	22.68	11.56	1.32
382	Greeneville	1	US	1552967634	68	-82.83	36.16	3.0	1.67
383	Grand-Santi	0	GF	1552967637	56	-54.38	4.27	27.46	2.22
384	Broome	0	GB	1552967596	93	1.45	52.47	6.67	1.5
385	Werdohl	64	DE	1552967603	89	7.76	51.26	2.22	4.1
386	Yeniseysk	92	RU	1552967638	86	92.17	58.45	-3.54	2.32
387	Bayan	68	MN	1552967638	44	107.54	47.25	-5.69	6.22
388	Port Shepstone	36	ZA	1552967579	89	30.45	-30.74	23.31	5.12
389	Iquitos	0	PE	1552964400	94	-73.25	-3.75	25.0	0.82
390	Sokolovo	90	RU	1552967141	93	38.13	55.86	3.33	5.0
391	Grand Gaube	75	MU	1552967343	83	57.66	-20.01	27.0	4.1
392	Mulanje	56	MW	1552967640	95	35.5	-16.03	19.91	0.97
393	Bundaberg	40	AU	1552967109	58	152.35	-24.87	31.11	5.1
394	Naze	40	NG	1552964400	94	7.07	5.43	25.0	3.62
395	Along	100	IN	1552967640	99	94.8	28.17	11.81	0.62
396	Saldanha	0	PT	1552967641	91	-6.55	41.42	-1.04	2.07
397	Riviere-au-Renard	75	CA	1552964400	56	-64.4	49.0	-10.0	2.1
398	Ilulissat	44	GL	1552963800	63	-51.1	69.22	-21.0	6.7
399	Bratsk	75	RU	1552967598	62	101.63	56.15	-5.0	3.0
400	Konya	0	TR	1552963800	74	32.48	37.87	3.0	1.5
401	Alindao	20	CF	1552967642	79	21.21	5.04	19.36	1.22
402	Khandyga	0	RU	1552967642	53	135.58	62.65	-13.89	1.52
403	Ribeira Grande	0	PT	1552967643	98	-28.7	38.52	15.91	5.72
404	Ketchikan	1	US	1552964160	81	-131.65	55.34	10.0	2.6
405	Honiara	44	SB	1552967643	100	159.96	-9.43	26.11	0.92
406	Ambilobe	36	MG	1552967643	95	49.05	-13.19	21.26	1.52
407	Marawi	92	PH	1552967235	93	124.29	8.0	23.89	0.45
408	Morant Bay	20	JM	1552964400	61	-76.41	17.88	26.0	2.6
409	Pozo Colorado	0	PY	1552967644	94	-58.8	-23.49	22.41	2.52
410	Qaqortoq	0	GL	1552963800	85	-46.03	60.72	-4.0	7.2
411	Leiyang	36	CN	1552967645	100	112.85	26.42	19.26	2.67
412	Zyryanka	12	RU	1552967645	57	150.89	65.73	-21.04	1.42
413	Talnakh	68	RU	1552967586	91	88.39	69.49	-13.84	3.42
414	Port Antonio	20	JM	1552964400	61	-76.45	18.18	26.0	2.6
415	Calamar	32	CO	1552967646	97	-72.65	1.96	22.16	0.92
416	Isabela	88	PH	1552967646	73	122.99	10.2	27.86	1.97
417	Dunedin	0	NZ	1552967255	64	170.5	-45.87	19.44	4.47
418	Wundanyi	0	KE	1552967647	91	38.37	-3.4	16.31	0.77
419	Mulege	0	MX	1552967647	56	-111.98	26.88	15.21	0.37
420	Batagay-Alyta	0	RU	1552967648	84	130.41	67.8	-21.94	1.77
421	Madison	1	US	1552967700	86	-89.38	43.07	2.0	2.62
422	Los Llanos de Aridane	75	ES	1552967404	63	-17.92	28.66	18.0	5.7
423	Mae Sot	0	MM	1552967371	54	98.57	16.71	33.89	1.0
424	Iracoubo	36	GF	1552967649	78	-53.21	5.48	24.56	2.22
425	Sao Filipe	8	CV	1552967649	96	-24.5	14.9	21.76	4.97
426	Cabo Rojo	12	PR	1552967365	78	-67.15	18.09	25.0	5.27
427	Biryusinsk	80	RU	1552967650	66	97.82	55.96	-3.29	2.77
428	Mar del Plata	36	AR	1552967650	57	-67.52	-46.43	12.96	5.27
429	Hoima	0	UG	1552967651	79	31.35	1.43	17.31	0.92
430	Salo	92	FI	1552967619	100	23.13	60.38	1.67	1.5
431	Hokitika	20	NZ	1552967651	94	170.96	-42.72	18.96	1.87
432	San Andres	0	PH	1552967652	96	122.68	13.32	27.71	6.82
433	Arman	0	RU	1552967652	61	150.17	59.7	-14.29	4.12
434	Ordu	0	TR	1552963800	75	37.88	40.98	3.0	2.1
435	Cap Malheureux	75	MU	1552967643	83	57.61	-19.98	27.0	4.1
436	Roald	20	NO	1552967403	74	6.12	62.58	3.0	3.6
437	Zeya	68	RU	1552967653	51	127.27	53.74	-7.09	1.47
438	Kanuma	68	JP	1552967105	27	139.64	36.58	14.44	2.24
439	Bathsheba	20	BB	1552964400	69	-59.52	13.22	25.0	7.2
440	Saint-Joseph	48	FR	1552967450	70	6.97	43.56	11.0	1.5
441	Areka	0	ET	1552967655	62	37.71	7.07	13.46	2.27
442	Hjelset	64	NO	1552967214	86	7.5	62.78	3.0	1.0
443	Puerto Escondido	75	MX	1552963500	69	-97.07	15.86	28.0	1.82
444	Wadena	0	CA	1552967655	83	-103.8	51.95	-4.29	2.87
445	Acajutla	0	SV	1552967467	77	-89.83	13.59	22.78	2.02
446	Kodino	92	RU	1552967656	95	39.64	63.72	1.66	4.67
447	Chapais	1	CA	1552964400	76	-74.86	49.78	-23.0	1.0
448	Pitimbu	0	BR	1552964400	94	-34.81	-7.47	25.0	1.0
449	Novi Travnik	90	BA	1552964400	100	17.66	44.17	4.0	4.1
450	Lasa	20	CY	1552966200	93	32.53	34.92	13.0	2.6
451	Mokshan	24	RU	1552967588	78	44.61	53.44	-0.57	2.67
452	Puerto Concordia	20	CO	1552967658	95	-72.76	2.62	22.96	0.77
453	Ixtapa	40	MX	1552967407	78	-105.21	20.71	23.0	2.1
454	Kokopo	12	PG	1552967658	92	152.27	-4.34	29.31	2.22
455	Jinchang	0	CN	1552967658	80	102.19	38.52	5.11	1.77
456	Morden	40	CA	1552967163	77	-98.1	49.19	0.0	1.22
457	Santa Cruz de Tenerife	88	ES	1552967512	81	-16.25	28.47	17.0	0.5
458	Shangrao	20	CN	1552967659	69	117.97	28.45	19.61	1.57
459	Wajima	75	JP	1552964400	50	136.9	37.4	13.0	8.2
460	Mao	20	DO	1552967451	73	-71.08	19.55	24.44	5.1
461	Binzhou	8	CN	1552966153	37	117.96	37.38	22.78	3.58
462	Kameshkovo	88	RU	1552967660	93	41.0	56.35	1.36	7.42
463	Morondava	12	MG	1552967661	100	44.28	-20.3	23.56	1.57
464	Talcahuano	0	CL	1552964400	71	-73.12	-36.72	11.0	4.6
465	Vila	0	IT	1552967646	92	8.4	45.18	6.67	2.1
466	Santo Andre	8	BR	1552967662	95	-46.86	-0.91	23.71	1.67
467	Miri	0	NG	1552967389	52	9.75	10.31	17.01	1.77
468	Erzin	0	TR	1552967613	100	36.2	36.95	11.67	1.5
469	Mayma	32	RU	1552967663	69	85.9	52.0	-11.54	1.17
470	Pemba	100	MZ	1552967377	98	40.52	-12.97	28.91	5.22
471	Sapa	20	PH	1552967604	49	120.76	14.32	33.89	6.2
472	Vanimo	64	PG	1552967664	100	141.3	-2.67	27.46	8.27
473	Chumikan	0	RU	1552967538	55	135.31	54.72	-8.59	1.47
474	Hohhot	0	CN	1552964400	25	111.65	40.81	12.0	1.0
475	Isiro	56	CD	1552967665	80	27.62	2.77	21.71	0.87
476	Gamba	32	CN	1552967665	81	88.52	28.28	-12.24	1.72
477	Inuvik	75	CA	1552964400	93	-133.71	68.36	0.0	3.1
478	Hibbing	75	US	1552967253	68	-92.94	47.43	1.0	2.87
479	Port-Gentil	76	GA	1552967666	100	8.78	-0.72	26.01	3.07
480	Sao Sebastiao	8	BR	1552967666	92	-58.36	-3.15	25.71	1.52
481	Nemuro	20	JP	1552964400	49	145.57	43.32	9.0	7.2
482	Salina	1	US	1552967643	53	-95.15	36.29	13.0	4.6
483	Sur	68	OM	1552967667	100	59.53	22.57	21.11	3.62
484	Kuryk	80	KZ	1552967667	86	51.68	43.18	5.66	6.92
485	Agirish	80	RU	1552967667	83	63.02	61.92	-5.44	1.07
486	Smithers	40	CA	1552964400	69	-127.17	54.78	4.0	0.82
487	Ola	0	RU	1552967668	100	151.3	59.58	-15.09	3.02
488	Tessalit	0	ML	1552967668	24	1.01	20.2	14.21	1.67
489	Saint-Leu	0	RE	1552967402	61	55.28	-21.15	28.0	2.6
490	Toma	75	JP	1552964400	75	142.6	43.82	5.0	6.2
491	Dawei	8	MM	1552967669	70	98.19	14.07	28.71	0.97
492	Baie-Comeau	40	CA	1552967295	61	-68.15	49.22	-5.0	2.6
493	Cururupu	88	BR	1552967670	94	-44.87	-1.82	25.16	1.77
494	Yar-Sale	32	RU	1552967670	72	70.83	66.83	-12.94	4.47
495	Gunjur	5	GM	1552964400	82	-16.76	13.18	20.0	2.6
496	Timbuktu	0	ML	1552967670	31	-3.01	16.77	18.71	2.27
497	Detmold	40	DE	1552967668	93	8.88	51.94	3.33	3.6
498	Doha	0	QA	1552964400	55	51.53	25.29	19.0	2.6
499	Pringsewu	36	ID	1552967409	81	104.98	-5.36	27.66	1.32
500	Henties Bay	0	NA	1552964531	92	14.28	-22.12	16.67	1.34
501	Zatoka	0	PL	1552967573	80	20.52	50.04	2.78	2.1
502	Ossora	20	RU	1552967672	100	163.07	59.24	-13.29	2.77
503	Vila Velha	40	BR	1552967290	94	-38.6	-3.71	25.0	1.0
504	Porto Walter	68	BR	1552967673	95	-72.74	-8.27	23.56	0.77
505	Seymchan	48	RU	1552967674	68	152.39	62.93	-21.09	4.37
506	Mahajanga	20	MG	1552964400	88	46.32	-15.72	26.0	1.0
507	Sabzevar	92	IR	1552967559	96	57.68	36.21	2.66	5.32
508	Shakawe	24	BW	1552967674	60	21.84	-18.36	21.06	1.27
509	Tazovskiy	80	RU	1552967675	88	78.7	67.47	-13.19	3.42
510	Itaqui	92	BR	1552967675	89	-56.55	-29.13	21.96	1.27
511	Quebec	5	CA	1552967170	66	-71.24	46.83	-8.33	1.0
512	Menongue	68	AO	1552967675	85	17.68	-14.66	19.46	1.32
513	La Ronge	40	CA	1552964400	81	-105.3	55.1	0.0	2.52
514	Buraydah	0	SA	1552964400	71	43.97	26.33	11.0	1.5
515	Bundi	0	IN	1552964400	46	75.64	25.44	22.0	1.0
516	Barra Patuca	64	HN	1552967677	81	-84.28	15.8	26.91	3.57
517	Sitka	8	US	1552967677	47	-99.65	37.17	10.81	5.87
518	Waingapu	92	ID	1552967589	87	120.26	-9.65	27.31	4.12
519	Yurgamysh	20	RU	1552967677	58	64.47	55.37	-14.79	1.32
520	Astoria	1	US	1552967406	25	-123.83	46.19	18.0	4.6
521	Limerick	75	IE	1552964400	93	-8.63	52.66	7.0	2.6
522	Svetlogorsk	40	RU	1552964400	85	59.15	53.14	-6.0	5.0
523	Anchorage	75	US	1552967369	100	-149.89	61.22	6.11	4.22
524	Dakar	0	SN	1552964400	88	-17.45	14.69	21.0	3.1
525	Yeppoon	75	AU	1552964400	49	150.74	-23.13	32.0	2.6
526	Jatai	0	IN	1552967679	46	76.18	28.97	20.91	2.27
527	Upata	24	VE	1552967680	73	-62.41	8.02	24.06	3.62
528	Caravelas	0	BR	1552967680	99	-39.27	-17.73	28.71	7.72
529	Coolum Beach	0	AU	1552967653	52	153.09	-26.53	32.78	0.77
530	Mount Isa	0	AU	1552964400	22	139.49	-20.73	37.0	4.1
531	Visby	92	SE	1552967660	94	18.3	57.64	1.67	7.2
532	Polyarnyy	75	RU	1552964400	92	33.45	69.2	-1.0	2.0
533	Amarpur	75	IN	1552964400	74	91.65	23.52	26.0	1.12
534	Wilmington	24	US	1552967481	73	-75.55	39.75	2.22	1.97
535	Pecos	90	US	1552966934	37	-103.49	31.42	13.0	2.6
536	Najran	5	SA	1552964400	27	44.22	17.54	17.0	1.17
